Date,Adj Close,Close,High,Low,Open,Volume
2021-01-04,85.49296569824219,86.30650329589844,88.12449645996094,85.35700225830078,88.0,37324000
2021-01-05,86.18241119384766,87.00250244140625,87.34149932861328,85.84500122070312,86.25450134277344,20360000
2021-01-06,85.33199310302734,86.14399719238281,87.19850158691406,84.80500030517578,85.01300048828125,46588000
2021-01-07,87.8807601928711,88.71700286865234,88.89099884033203,86.33799743652344,86.33799743652344,41936000
2021-01-08,89.04417419433594,89.8915023803711,89.96800231933594,88.06099700927734,88.85800170898438,35484000
2021-01-11,86.98676300048828,87.81449890136719,89.21900177001953,87.60700225830078,88.85099792480469,34796000
2021-01-12,86.0526351928711,86.87149810791016,88.3949966430664,85.81900024414062,87.26799774169922,29528000
2021-01-13,86.53902435302734,87.36250305175781,87.81950378417969,86.36599731445312,86.36599731445312,23432000
2021-01-14,85.73021697998047,86.5459976196289,88.37750244140625,86.30349731445312,87.44349670410156,29212000
2021-01-15,85.56678771972656,86.38099670410156,87.38099670410156,85.58550262451172,86.45099639892578,31444000
2021-01-19,88.38247680664062,89.22350311279297,90.19200134277344,86.6415023803711,87.1500015258789,41660000
2021-01-20,93.117431640625,94.00350189208984,94.98600006103516,90.97550201416016,91.31849670410156,64152000
2021-01-21,93.31950378417969,94.2074966430664,96.60399627685547,93.97049713134766,94.68250274658203,58634000
2021-01-22,93.73603057861328,94.62799835205078,95.21949768066406,93.82499694824219,94.572998046875,32744000
2021-01-25,93.82121276855469,94.71399688720703,96.09100341796875,92.95800018310547,95.63700103759766,50586000
2021-01-26,94.49828338623047,95.39749908447266,95.7874984741211,93.80650329589844,94.29949951171875,31462000
2021-01-27,90.08973693847656,90.9469985961914,94.02349853515625,89.86399841308594,93.74549865722656,82512000
2021-01-28,91.7865982055664,92.66000366210938,94.39949798583984,91.55000305175781,91.55000305175781,55278000
2021-01-29,90.50676727294922,91.36799621582031,92.37699890136719,90.0780029296875,91.70099639892578,44530000
2021-02-01,93.76129913330078,94.65350341796875,95.7770004272461,92.22949981689453,92.22949981689453,40252000
2021-02-02,95.051513671875,95.95600128173828,97.46849822998047,95.31849670410156,95.65650177001953,66332000
2021-02-03,101.9736557006836,102.94400024414062,105.33100128173828,100.67749786376953,103.28050231933594,97882000
2021-02-04,101.71361541748047,102.68150329589844,103.46499633789062,101.75499725341797,103.03099822998047,48596000
2021-02-05,103.45702362060547,104.44149780273438,104.7969970703125,102.5,102.97799682617188,29866000
2021-02-08,103.24357604980469,104.22599792480469,105.75,103.1675033569336,105.0,28828000
2021-02-09,102.79137420654297,103.76950073242188,104.92549896240234,103.5,103.73999786376953,21892000
2021-02-10,103.34064483642578,104.3239974975586,104.94400024414062,102.61199951171875,104.15699768066406,25102000
2021-02-11,103.45307922363281,104.4375,104.69999694824219,103.44300079345703,104.55000305175781,20480000
2021-02-12,103.76410675048828,104.75150299072266,104.9749984741211,103.67849731445312,103.9885025024414,18990000
2021-02-16,104.54022216796875,105.53500366210938,107.25700378417969,104.5875015258789,104.5875015258789,31004000
2021-02-17,104.93250274658203,105.93099975585938,106.12200164794922,104.4175033569336,104.6989974975586,20294000
