Date,Adj Close,Close,High,Low,Open,Volume,Stock,Daily_Return,Price_Range,SMA_10,SMA_20,Volatility
2021-02-01,130.2244415283203,134.13999938964844,135.3800048828125,130.92999267578125,133.75,106239800,AAPL,0.0165201012796869,4.45001220703125,136.71300048828124,133.09200019836425,0.0260637775757825
2021-02-02,131.0496368408203,134.99000549316406,136.30999755859375,134.61000061035156,135.72999572753906,83305400,AAPL,0.0063367087176327,1.6999969482421875,137.4290008544922,133.371000289917,0.0260643806864727
2021-02-03,130.03025817871094,133.94000244140625,135.77000427246094,133.61000061035156,135.75999450683594,89880900,AAPL,-0.0077783762429062,2.160003662109375,137.62000122070313,133.51750068664552,0.0244928624916297
2021-02-04,133.37953186035156,137.38999938964844,137.39999389648438,134.58999633789062,136.3000030517578,84183100,AAPL,0.025757778746879,2.80999755859375,137.67200164794923,134.05700073242187,0.0229591359116391
2021-02-05,132.9663543701172,136.75999450683594,137.4199981689453,135.86000061035156,137.35000610351562,75693800,AAPL,-0.0045855221312415,1.55999755859375,137.44100036621094,134.3490005493164,0.0223348958054418
2021-02-08,133.11219787597656,136.91000366210938,136.9600067138672,134.9199981689453,136.02999877929688,71297200,AAPL,0.0010968789214593,2.040008544921875,136.84000091552736,134.59200057983398,0.0199353867892138
2021-02-09,132.23719787597656,136.00999450683594,137.8800048828125,135.85000610351562,136.6199951171875,76774200,AAPL,-0.0065737282243789,2.029998779296875,136.125,134.94350051879883,0.019839861926929
2021-02-10,131.63433837890625,135.38999938964844,136.99000549316406,134.39999389648438,136.47999572753906,73046600,AAPL,-0.0045584526301583,2.5900115966796875,135.45800018310547,135.27300033569335,0.019816292594051
2021-02-11,131.38156127929688,135.1300048828125,136.38999938964844,133.77000427246094,135.89999389648438,64280000,AAPL,-0.0019203376025409,2.6199951171875,135.26200103759766,135.48500061035156,0.0167000276739983
2021-02-12,131.61489868164062,135.3699951171875,135.52999877929688,133.69000244140625,134.35000610351562,60145100,AAPL,0.0017759951580194,1.839996337890625,135.60299987792968,135.80800018310546,0.0108634421992164
2021-02-16,129.49539184570312,133.19000244140625,136.00999450683594,132.7899932861328,135.49000549316406,80576300,AAPL,-0.0161039577041727,3.220001220703125,135.50800018310548,136.11050033569336,0.0111166983566545
2021-02-17,127.21056365966795,130.83999633789062,132.22000122070312,129.47000122070312,131.25,97918500,AAPL,-0.0176440127670202,2.75,135.09299926757814,136.26100006103516,0.0119928193986019
2021-02-18,126.11193084716795,129.7100067138672,130.0,127.41000366210938,129.1999969482422,96856700,AAPL,-0.0086364235375341,2.589996337890625,134.6699996948242,136.14500045776367,0.012033382393817
